"","eda","p3","ent","sex","cs_p13_1","e_con","ur","seg_soc","hrsocup","hij5c","mh_fil2","par_c","sal_sem","exp","exp2"
"1138",33,"9722","28","1","4","1","2","1",44,"0","3","101",6450,15,225
"1139",57,"2812","28","1","6","1","2","1",40,"0","3","101",10000,37,1369
"1140",66,"2812","28","2","3","6","2","2",2,"1","1","101",2150,51,2601
"1141",55,"9722","28","1","7","4","2","2",35,"0","3","403",2000,33,1089
"1142",40,"5222","28","2","3","5","2","2",40,"2","2","201",2150,25,625
"1143",75,"5222","30","2","2","4","2","2",12,"4","2","101",645,63,3969
"1144",36,"5222","30","2","3","1","2","2",98,"3","2","201",2150,21,441
"1145",36,"5113","30","1","3","1","2","2",60,"0","2","419",1750,21,441
"1146",36,"5222","30","2","2","1","2","2",28,"3","2","202",2150,24,576
"1147",69,"9722","30","1","3","5","2","2",30,"0","3","101",6000,54,2916
"1148",49,"9722","30","1","4","5","2","1",40,"0","3","101",3000,31,961
"1149",29,"9722","30","1","7","6","2","1",72,"0","3","301",4000,9,81
"1150",59,"2811","30","2","6","4","2","1",40,"3","3","101",6000,41,1681
"1151",57,"5222","32","2","3","5","2","2",24,"4","2","401",1720,42,1764
"1152",22,"5222","32","2","3","6","2","1",4,"1","2","301",301,7,49
"1153",28,"5222","2","2","4","6","2","2",15,"2","2","101",8600,11,121
"1154",25,"5222","3","2","3","1","2","2",55,"2","1","101",3010,10,100
"1155",29,"5222","3","2","3","1","2","2",48,"3","2","101",3225,14,196
"1156",21,"5222","3","2","4","6","2","1",70,"1","2","301",8600,3,9
"1157",35,"5222","3","2","7","1","2","2",0,"2","2","101",12000,15,225
"1158",43,"2811","3","2","6","1","2","1",36,"3","3","201",5750,22,484
"1159",41,"5222","6","2","7","5","2","3",48,"3","3","201",4300,20,400
"1160",41,"5222","6","2","3","2","2","2",40,"3","2","413",4300,26,676
"1161",20,"5222","6","2","3","1","2","2",60,"1","2","418",6450,5,25
"1162",46,"9722","7","1","7","6","2","1",60,"0","3","301",2500,26,676
"1163",50,"9722","12","1","4","1","2","2",24,"0","3","101",1935,32,1024
"1164",48,"2811","12","2","6","5","2","1",0,"2","3","101",6000,30,900
"1165",36,"8343","14","1","4","1","2","2",58,"0","2","202",8600,19,361
"1166",41,"5222","16","2","3","2","2","2",40,"2","2","101",4300,26,676
"1167",51,"2811","16","2","6","5","2","2",36,"3","3","201",150,33,1089
"1168",42,"9722","19","1","3","5","2","1",84,"0","3","201",1600,27,729
"1169",38,"5222","20","2","4","5","2","2",24,"2","2","301",500,20,400
"1170",50,"5222","20","2","3","6","2","2",84,"1","2","413",750,35,1225
"1171",70,"5222","20","2","4","3","2","2",18,"4","2","101",1935,52,2704
"1172",61,"2811","21","2","6","5","2","1",40,"2","3","201",8000,40,1600
"1173",27,"2811","23","2","7","6","2","1",40,"1","3","301",4000,8,64
"1174",23,"5222","24","2","7","5","2","2",24,"2","2","201",3440,3,9
"1175",29,"5222","24","2","7","5","2","2",15,"3","2","201",8600,9,81
"1176",60,"5222","25","2","4","6","2","2",43,"3","2","101",4500,44,1936
"1177",55,"9722","25","1","4","5","2","1",0,"0","3","101",3900,37,1369
"1178",50,"5222","25","2","4","2","2","2",40,"2","2","101",6450,32,1024
"1179",36,"5222","25","2","2","1","2","2",25,"3","2","201",2150,24,576
"1180",51,"5222","26","2","3","2","2","2",15,"3","2","101",3440,36,1296
"1181",32,"5222","26","2","3","6","2","2",48,"3","2","101",4300,17,289
"1182",61,"8343","27","1","3","5","2","2",60,"0","2","101",8600,46,2116
"1183",25,"2812","30","1","7","6","2","1",48,"0","3","301",3000,2,4
"1184",54,"5113","30","2","3","3","2","2",48,"3","2","416",6450,39,1521
"1185",29,"2812","30","1","6","6","2","1",42,"0","3","301",3500,9,81
"1186",50,"5222","30","2","2","6","2","1",56,"1","2","601",3500,38,1444
"1187",64,"5222","30","2","2","5","2","2",7,"2","2","201",903,52,2704
"1188",45,"5222","1","2","4","6","2","2",24,"2","1","301",1935,27,729
"1189",52,"5222","1","2","3","2","2","2",40,"2","1","101",4300,37,1369
"1190",21,"2811","1","2","7","6","2","2",6,"1","3","301",3010,1,1
"1191",55,"5222","2","2","4","1","2","2",40,"3","3","101",3440,37,1369
"1192",42,"5222","2","2","4","5","2","2",20,"2","2","201",3870,24,576
"1193",18,"5222","2","2","4","6","2","2",36,"1","2","301",2064,1,1
"1194",27,"5222","3","2","4","6","2","2",36,"2","2","101",2795,9,81
"1195",31,"2812","3","1","6","5","2","1",35,"0","3","101",6000,10,100
"1196",32,"5222","3","2","2","5","2","2",5,"3","2","201",3225,20,400
"1197",22,"5222","4","2","3","6","2","2",25,"1","2","301",2580,7,49
"1198",44,"5222","4","2","0","5","2","2",25,"2","2","201",2150,38,1444
"1199",49,"2811","4","1","6","5","2","1",24,"0","3","418",12000,31,961
"1200",52,"5222","4","2","3","5","2","2",42,"3","2","101",1500,37,1369
"1201",31,"2811","5","2","6","5","2","1",21,"2","3","201",8000,10,100
"1202",47,"5222","5","2","4","5","2","2",24,"3","2","201",5160,29,841
"1203",24,"5222","7","2","4","6","2","2",18,"1","2","301",1548,6,36
"1204",55,"8343","11","1","3","5","2","2",60,"0","2","101",9460,40,1600
"1205",34,"2811","11","2","6","5","2","1",50,"2","3","301",6000,-71,5041
"1206",43,"5222","12","2","4","5","2","2",48,"2","2","101",6450,25,625
"1207",42,"5222","12","2","2","5","2","2",42,"1","2","201",6450,30,900
"1208",33,"9722","13","1","7","5","2","2",40,"0","3","418",4000,11,121
"1209",46,"8343","13","1","2","5","2","2",4,"0","2","101",2580,34,1156
"1210",39,"2811","13","2","6","5","2","1",36,"3","3","201",7000,20,400
"1211",49,"5222","13","2","7","1","2","2",50,"1","2","101",3225,27,729
"1212",33,"2811","14","2","6","1","2","1",48,"2","3","201",3200,14,196
"1213",33,"2811","14","2","3","5","2","0",0,"2","0","201",3200,18,324
"1214",62,"2811","14","2","6","2","2","1",40,"3","3","101",7000,45,2025
"1215",59,"5222","15","2","6","6","2","2",84,"1","2","101",8600,41,1681
"1216",22,"5222","15","2","2","5","2","2",20,"1","2","418",2150,10,100
"1217",42,"5113","16","2","2","1","2","2",48,"3","2","101",6880,30,900
"1218",27,"5222","17","2","4","6","2","2",27,"2","2","301",3870,9,81
"1219",35,"5222","17","2","3","2","2","2",40,"2","2","301",4300,20,400
"1220",58,"5222","17","2","2","2","2","2",56,"3","2","101",10750,46,2116
"1221",17,"5222","17","2","2","6","2","2",40,"1","2","301",2150,5,25
"1222",37,"9722","18","1","7","5","2","1",40,"0","3","101",4500,15,225
"1223",26,"5222","18","2","4","6","2","2",46,"2","2","403",8600,8,64
"1224",16,"5222","18","2","3","6","2","2",48,"1","1","301",1290,1,1
"1225",27,"5222","18","2","4","1","2","2",24,"2","1","201",3440,9,81
"1226",47,"5222","19","2","3","5","2","2",40,"3","1","101",3440,32,1024
"1227",25,"2811","19","1","6","6","2","2",48,"0","3","403",10750,7,49
"1228",48,"5222","19","2","3","1","2","2",40,"3","2","202",4300,33,1089
"1229",60,"2812","19","1","3","5","2","2",36,"0","1","101",8600,45,2025
"1230",26,"2812","19","2","6","6","2","2",40,"2","3","101",4500,8,64
"1231",51,"5222","19","2","6","3","2","2",30,"2","2","101",10750,34,1156
"1232",28,"2811","19","1",NA,NA,"2","0",0,"0","0","301",4000,22,484
"1233",28,"2811","19","2","7","6","2","1",40,"1","3","301",4000,6,36
"1234",76,"5222","19","1","3","5","2","2",48,"0","1","101",6450,61,3721
"1235",76,"5222","19","1","3","5","2","2",48,"0","1","101",2580,61,3721
"1236",76,"5222","19","2","2","6","2","2",81,"2","2","101",6450,67,4489
"1237",76,"5222","19","2","2","6","2","2",81,"2","2","101",2580,67,4489
"1238",30,"2811","21","2","6","6","2","1",40,"2","3","301",5500,12,144
"1239",35,"5222","24","2","7","6","2","1",60,"2","2","301",5590,12,144
"1240",63,"2811","25","2","6","1","2","1",40,"3","3","202",4000,45,2025
