"SEXO","EDAD","ENT","ESC","urbano","TIEMPO_TOTAL","SIT_CONYUGAL","INDIGENA","TIPO_TRABAJO","PROGRAMA_SOCIAL","SEGURO_MEDICO","PAREN","TIEMPO_CHOF","TIEMPO_COCIN","TIEMPO_ENF_TEC","TIEMPO_FISIO","TIEMPO_CUID","NUM_PER","esc_jefe","jefatura_femenina","edad_jefe","SAL_SEM"
1,44,1,18,1,0,3,0,1,0,1,1,0,0,0,0,0,3,15,1,44,2000
1,17,1,13,1,0,6,0,NA,0,1,3,0,0,0,0,0,3,15,1,44,NA
1,65,1,13,1,0,3,1,1,0,0,1,0,0,0,0,0,2,11,1,65,2000
1,33,1,24,1,0,6,1,1,0,1,3,0,0,0,0,0,2,11,1,65,2500
1,40,1,12,1,0,6,0,1,0,1,1,0,0,0,0,0,1,9,1,40,900
0,53,1,15,1,0,5,0,1,0,1,1,0,0,0,0,0,2,12,0,53,1400
1,44,1,18,1,0,5,1,1,0,1,2,0,0,0,0,0,2,12,0,53,8000
1,79,1,10,1,0,4,0,NA,0,1,1,0,0,0,0,0,2,5,1,79,NA
1,50,1,12,1,29.5,6,1,NA,0,1,3,5,0,3.5,0,21,2,5,1,79,NA
0,36,1,15,1,0,5,0,1,0,1,1,0,0,0,0,0,4,12,0,36,3000
1,38,1,22,1,0,5,0,4,0,1,2,0,0,0,0,0,4,12,0,36,2000
1,15,1,12,1,0,6,1,1,0,1,3,0,0,0,0,0,4,12,0,36,1000
1,13,1,8,1,0,6,0,NA,0,1,3,0,0,0,0,0,4,12,0,36,NA
1,30,1,12,1,0,2,1,NA,0,1,1,0,0,0,0,0,4,9,1,30,NA
1,13,1,12,1,0,6,0,NA,0,1,3,0,0,0,0,0,4,9,1,30,NA
0,62,1,12,1,0,3,0,1,0,1,1,0,0,0,0,0,1,6,0,62,750
1,53,1,15,1,0,6,0,1,0,1,1,0,0,0,0,0,2,12,1,53,3000
1,18,1,15,1,0,6,1,NA,0,1,3,0,0,0,0,0,2,12,1,53,NA
1,47,1,13,1,0,6,1,4,0,1,1,0,0,0,0,0,2,11,1,47,1500
0,49,1,12,1,0,6,0,1,0,1,7,0,0,0,0,0,2,11,1,47,1500
1,62,1,11,1,0,2,0,NA,0,1,1,0,0,0,0,0,2,10,1,62,NA
1,37,1,20,1,1.58333333333333,6,0,1,0,1,3,0,0,0,0,1.58333333333333,2,10,1,62,1800
1,70,1,12,1,0,4,0,NA,0,1,1,0,0,0,0,0,4,6,1,70,NA
